"ITTER107","Territory","TIPO_DATO_PIL_SEC2010","Aggregate","VAL","Valuation","CORREZ","Adjustment","T_BIS","Edition","TIME","Select time","Value","Flag Codes","Flags"
"ITZ","Extra-Regio","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",1126.7,,
"ITD5","Emilia-Romagna","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",153491.7,,
"ITD3","Veneto","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",156111.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",4625.6,,
"ITD2","Provincia Autonoma Trento","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",19722.8,,
"ITF5","Basilicata","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",12101.9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",23143.9,,
"ITDA","Trentino Alto Adige / Südtirol","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",42866.7,,
"ITC1","Piemonte","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",130233.1,,
"ITD","Nord-est","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",389019.5,,
"ITE1","Toscana","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",112629.9,,
"ITC4","Lombardia","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",375270.3,,
"ITD4","Friuli-Venezia Giulia","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",36549.5,,
"ITG2","Sardegna","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",33093.5,,
"IT","Italy","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",1695786.8,,
"ITF6","Calabria","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",32458,,
"ITE3","Marche","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",40262,,
"ITG","Isole","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",119343.5,,
"ITC","Nord-ovest","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",558438.5,,
"ITCD","Nord","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",947458,,
"ITC3","Liguria","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",48309.5,,
"ITG1","Sicilia","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",86250,,
"ITCDE","Centro-nord","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",1315607.1,,
"ITF4","Puglia","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",71937.3,,
"ITE4","Lazio","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",193646.3,,
"ITE2","Umbria","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",21610.8,,
"ITF2","Molise","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",6088.3,,
"ITF3","Campania","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",105449.8,,
"ITFG","Mezzogiorno","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",379053,,
"ITF","Sud","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",259709.5,,
"ITF1","Abruzzo","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",31674.1,,
"ITE","Centro (I)","B1GQ_B_W2_S1","gross domestic product at market prices","V","current prices","N","raw data","2020M5","May-2020","2016","2016",368149.1,,
