"ITTER107","Territorio","TIPO_DATO_SDS_ICT","Tipo dato","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",73.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",77.4,,
"ITC3","Liguria","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",75.9,,
"ITC4","Lombardia","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",79,,
"ITDA","Trentino Alto Adige / Südtirol","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",81.1,,
"ITD1","Provincia Autonoma Bolzano / Bozen","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",80,,
"ITD2","Provincia Autonoma Trento","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",82.3,,
"ITD3","Veneto","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",80.6,,
"ITD4","Friuli-Venezia Giulia","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",78.7,,
"ITD5","Emilia-Romagna","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",79,,
"ITE1","Toscana","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",77.4,,
"ITE2","Umbria","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",77.4,,
"ITE3","Marche","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",76.7,,
"ITE4","Lazio","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",80.5,,
"ITF1","Abruzzo","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",76.1,,
"ITF2","Molise","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",69,,
"ITF3","Campania","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",73.3,,
"ITF4","Puglia","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",69.6,,
"ITF5","Basilicata","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",69,,
"ITF6","Calabria","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",67.3,,
"ITG1","Sicilia","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",69.4,,
"ITG2","Sardegna","FAM_INT_YES","famiglie che dispongono di accesso a Internet da casa","2019","2019",76.5,,
