unit,hhtyp,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PC_HH,TOTAL,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	84 	: 
PC_HH,TOTAL,AT	69 	70 	73 	75 	79 	81 	81 	82 	85 	89 	89 	90 
PC_HH,TOTAL,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69 	72 
PC_HH,TOTAL,BE	64 	67 	73 	77 	78 	80 	83 	82 	85 	86 	87 	90 
PC_HH,TOTAL,BG	25 	30 	33 	45 	51 	54 	57 	59 	64 	67 	72 	75 
PC_HH,TOTAL,CH	: 	: 	: 	: 	: 	: 	91 	: 	: 	93 b	: 	96 
PC_HH,TOTAL,CY	43 	53 	54 	57 	62 	65 	69 	71 	74 	79 	86 	90 
PC_HH,TOTAL,CZ	46 	54 	61 	67 	73 	73 	78 	79 	82 	83 	86 	87 
PC_HH,TOTAL,DE	75 	79 	82 	83 	85 	88 	89 	90 	92 	93 	94 	95 
PC_HH,TOTAL,DK	82 	83 	86 	90 	92 	93 	93 	92 	94 	97 	93 	95 
PC_HH,TOTAL,EA	62 	67 	71 	74 	76 	79 	81 	83 	85 	87 	89 	90 
PC_HH,TOTAL,EE	57 	62 	67 	69 	74 	79 	83 b	88 	86 	88 	90 	90 
PC_HH,TOTAL,EL	31 	38 	46 	50 	54 	56 	66 	68 	69 	71 	76 	79 
PC_HH,TOTAL,ES	50 	53 	58 	63 	67 	70 	74 	79 	82 	83 	86 	91 
PC_HH,TOTAL,EU27_2007	60 	66 	70 	73 	76 	79 	81 	83 	85 	87 	89 	: 
PC_HH,TOTAL,EU27_2020	59 	64 	68 	72 	75 	77 	80 	81 	84 	86 	88 	90 
PC_HH,TOTAL,EU28	60 	66 	70 	73 	76 	79 	81 	83 	85 	87 	89 	90 
PC_HH,TOTAL,FI	72 	78 	81 	84 	87 	89 	90 	90 	92 	94 	94 	94 
PC_HH,TOTAL,FR	62 	69 	74 	76 	80 	82 	83 	83 	86 	86 	89 	90 
PC_HH,TOTAL,HR	45 	50 	56 	61 	66 	65 	68 	77 	77 	76 	82 	81 
PC_HH,TOTAL,HU	47 	53 	58 	63 	67 	70 	73 	76 	79 	82 	83 	86 
PC_HH,TOTAL,IE	63 	67 	72 	78 	81 	82 	82 	85 	87 	88 	89 	91 
PC_HH,TOTAL,IS	88 	90 	92 	93 	95 	96 	96 	: 	: 	98 	99 	98 
PC_HH,TOTAL,IT	47 	53 	59 	62 	63 	69 	73 	75 	79 	81 	84 	85 
PC_HH,TOTAL,LT	51 	60 	61 	60 	60 	65 	66 	68 	72 	75 	78 	82 
PC_HH,TOTAL,LU	80 	87 	90 	91 	93 	94 	96 	97 	97 	97 	93 b	95 
PC_HH,TOTAL,LV	53 	58 	60 	64 	69 	72 	73 	76 	77 b	79 	82 	85 
PC_HH,TOTAL,ME	: 	: 	: 	: 	55 	: 	: 	: 	: 	71 	72 	74 
PC_HH,TOTAL,MK	29 	42 	46 	: 	58 	65 	68 	69 	75 	74 	79 	82 
PC_HH,TOTAL,MT	59 	64 	70 	75 	77 	78 	80 	81 	81 	85 	84 	86 
PC_HH,TOTAL,NL	86 	90 	91 	94 	94 	95 	96 	96 	97 	98 	98 	98 
PC_HH,TOTAL,NO	84 	86 	90 	92 	93 	94 	93 	97 	97 	97 	96 	98 
PC_HH,TOTAL,PL	48 	59 	63 	67 	70 	72 	75 	76 	80 	82 	84 	87 
PC_HH,TOTAL,PT	46 	48 	54 	58 	61 	62 	65 	70 	74 	77 	79 	81 
PC_HH,TOTAL,RO	30 	38 	42 	47 	54 	58 	61 b	68 	72 	76 	81 	84 
PC_HH,TOTAL,RS	: 	37 	: 	: 	: 	: 	: 	64 	: 	68 	73 	80 
PC_HH,TOTAL,SE	84 	86 	88 	91 	92 	93 	90 	91 	94 b	95 	93 	96 
PC_HH,TOTAL,SI	59 	64 	68 	73 	74 	76 	77 	78 	78 	82 	87 	89 
PC_HH,TOTAL,SK	58 	62 	67 	71 	75 	78 	78 	79 	81 	81 	81 	82 
PC_HH,TOTAL,TR	25 	30 	42 	: 	47 	49 	60 	70 	76 	81 	84 	88 
PC_HH,TOTAL,UK	71 	77 	80 	83 	87 	88 	90 	91 	93 	94 	95 	96 
PC_HH,TOTAL,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	89 	93 	93 
